SID,timestamp,lat,lon,wind,pressure
DEMO-0000,2012-06-05 00:00:00,8.197,85.175,30.5,993.7
DEMO-0000,2012-06-05 06:00:00,8.291,85.113,32.6,990.6
DEMO-0000,2012-06-05 12:00:00,8.319,85.018,31.2,992.7
DEMO-0000,2012-06-05 18:00:00,8.361,84.934,29.8,994.8
DEMO-0000,2012-06-06 00:00:00,8.401,84.868,30.5,993.8
DEMO-0000,2012-06-06 06:00:00,8.443,84.795,32.2,991.2
DEMO-0000,2012-06-06 12:00:00,8.464,84.749,33.5,989.2
DEMO-0000,2012-06-06 18:00:00,8.518,84.62,35.8,985.7
DEMO-0000,2012-06-07 00:00:00,8.572,84.482,34.7,987.4
DEMO-0000,2012-06-07 06:00:00,8.676,84.41,36.4,984.8
DEMO-0000,2012-06-07 12:00:00,8.769,84.33,38.8,981.2
DEMO-0000,2012-06-07 18:00:00,8.827,84.252,40.7,978.5
DEMO-0000,2012-06-08 00:00:00,8.909,84.214,41.5,977.3
DEMO-0000,2012-06-08 06:00:00,8.999,84.07,40.9,978.2
DEMO-0000,2012-06-08 12:00:00,9.048,83.93,40.3,979.0
DEMO-0000,2012-06-08 18:00:00,9.079,83.816,41.4,977.5
DEMO-0000,2012-06-09 00:00:00,9.135,83.714,40.7,978.5
DEMO-0000,2012-06-09 06:00:00,9.182,83.686,41.8,976.8
DEMO-0000,2012-06-09 12:00:00,9.263,83.558,43.2,974.7
DEMO-0000,2012-06-09 18:00:00,9.299,83.458,45.7,971.0
DEMO-0000,2012-06-10 00:00:00,9.383,83.38,46.9,969.2
DEMO-0000,2012-06-10 06:00:00,9.487,83.331,46.3,970.0
DEMO-0000,2012-06-10 12:00:00,9.51,83.222,45.9,970.7
DEMO-0000,2012-06-10 18:00:00,9.552,83.194,47.9,967.7
DEMO-0000,2012-06-11 00:00:00,9.603,83.13,48.0,967.5
DEMO-0000,2012-06-11 06:00:00,9.714,83.039,47.5,968.2
DEMO-0000,2012-06-11 12:00:00,9.759,82.962,47.1,968.9
DEMO-0000,2012-06-11 18:00:00,9.838,82.929,46.0,970.6
DEMO-0000,2012-06-12 00:00:00,9.957,82.845,43.8,973.8
