sample_id,split,storm_id,season
DEMO-0000_2012-06-06T12_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-06T18_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-07T00_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-07T06_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-07T12_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-07T18_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-08T00_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-08T06_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-08T12_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-08T18_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-09T00_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-09T06_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-09T12_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-09T18_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-10T00_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-10T06_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-10T12_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-10T18_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-11T00_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-11T06_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-11T12_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-11T18_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-12T00_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-12T06_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-12T12_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-12T18_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-13T00_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-13T06_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-13T12_00_00.000000,train,DEMO-0000,2012
DEMO-0000_2012-06-13T18_00_00.000000,train,DEMO-0000,2012
DEMO-0001_2013-06-10T12_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-10T18_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-11T00_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-11T06_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-11T12_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-11T18_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-12T00_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-12T06_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-12T12_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-12T18_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-13T00_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-13T06_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-13T12_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-13T18_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-14T00_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-14T06_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-14T12_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-14T18_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-15T00_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-15T06_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-15T12_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-15T18_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-16T00_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-16T06_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-16T12_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-16T18_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-17T00_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-17T06_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-17T12_00_00.000000,train,DEMO-0001,2013
DEMO-0001_2013-06-17T18_00_00.000000,train,DEMO-0001,2013
DEMO-0002_2014-06-12T12_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-12T18_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-13T00_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-13T06_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-13T12_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-13T18_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-14T00_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-14T06_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-14T12_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-14T18_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-15T00_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-15T06_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-15T12_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-15T18_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-16T00_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-16T06_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-16T12_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-16T18_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-17T00_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-17T06_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-17T12_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-17T18_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-18T00_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-18T06_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-18T12_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-18T18_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-19T00_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-19T06_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-19T12_00_00.000000,train,DEMO-0002,2014
DEMO-0002_2014-06-19T18_00_00.000000,train,DEMO-0002,2014
DEMO-0003_2015-05-16T12_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-16T18_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-17T00_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-17T06_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-17T12_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-17T18_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-18T00_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-18T06_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-18T12_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-18T18_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-19T00_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-19T06_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-19T12_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-19T18_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-20T00_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-20T06_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-20T12_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-20T18_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-21T00_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-21T06_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-21T12_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-21T18_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-22T00_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-22T06_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-22T12_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-22T18_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-23T00_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-23T06_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-23T12_00_00.000000,train,DEMO-0003,2015
DEMO-0003_2015-05-23T18_00_00.000000,train,DEMO-0003,2015
DEMO-0004_2016-05-13T12_00_00.000000,train,DEMO-0004,2016
DEMO-0004_2016-05-13T18_00_00.000000,train,DEMO-0004,2016
DEMO-0004_2016-05-14T00_00_00.000000,train,DEMO-0004,2016
DEMO-0004_2016-05-14T06_00_00.000000,train,DEMO-0004,2016
DEMO-0004_2016-05-14T12_00_00.000000,train,DEMO-0004,2016
DEMO-0004_2016-05-14T18_00_00.000000,train,DEMO-0004,2016
DEMO-0004_2016-05-15T00_00_00.000000,train,DEMO-0004,2016
DEMO-0004_2016-05-15T06_00_00.000000,train,DEMO-0004,2016
DEMO-0004_2016-05-15T12_00_00.000000,train,DEMO-0004,2016
